c_iss_pf,c_oss_pf,channels,configuration,division,i_d_25c_a,i_d_pulse_a,ispn,last_update_sami_pss,parameter_group_name,product_category,product_line,product_name,q_g_10v_nc,q_g_4_5v_nc,qualification,r_ds_on_10v_mohm,r_ds_on_25c_mohm,r_ds_on_4_5v_mohm,sales_product_number,technology_sami,v_ds_v,v_gs_th_max_v,v_gs_th_min_v,v_gs_th_typ_v,voltage_class_v
,,,,PSS,203.0,812.0,ISY718W558,2025-05-20 06:58:04.092,Category 44,,51,,160.0,,Industrial,2.7,,,SP881120489,Category 53,150.0,4.6,3.0,,
1400.0,170.0,,,PSS,37.0,148.0,VBK538P75PB2 X,2025-05-20 06:58:04.092,Category 19,Prod Category 15,51,VBK538P75PB2 X,20.0,,Industrial,24.0,,,SP888479473,Category 33,120.0,4.0,2.0,3.0,
,,,,PSS,11.4,34.4,IWV61S278QYMO,2025-05-20 06:58:04.092,Category 2,Prod Category 15,52,IWV61S278QYMO,,,Automotive,310.0,,,SP888409338,Category 11,650.0,4.5,3.5,,
,,,,PSS,-4.3,,ISTLT6387XWVY,2025-05-20 06:58:04.092,Category 31,,15,,,10.0,Standard,,,50.0,SP887164143,Category 30,-12.0,-0.95,-0.4,-0.55,
,,,,PSS,40.0,160.0,VBK8977TB,2025-05-20 06:58:04.092,Category 19,Prod Category 20,15,VBK8977TB,10.0,5.2,Standard,7.0,,9.0,SP881353548,Category 38,30.0,2.0,1.2,,30.0
,,,,PSS,128.0,,IWV810P71PL6,2025-05-20 06:58:04.092,Category 3,,51,IWV810P71PL6,44.0,,Industrial,5.7,,,SP886772733,Category 42,150.0,4.0,3.0,3.5,150.0
,,,,PSS,8.7,27.0,IWF61S358QYM,2025-05-20 06:58:04.092,Category 44,,52,IWF61S358QYM,32.0,,Non-Automotive,420.0,,,SP887940204,Category 8,650.0,4.5,3.5,4.0,
,,,,PSS,80.0,,ISYJ0797,2025-05-20 06:58:04.092,Category 36,Prod Category 15,51,,,,Standard,8.0,,,SP887116263,Category 55,100.0,,,,
,,,,PSS,19.2,52.0,IPL68S578W6,2025-05-20 06:58:04.092,Category 59,Prod Category 15,52,IPL68S578W6,37.0,,Industrial,210.0,,,SP887870896,Category 17,600.0,4.5,3.5,4.0,
,,,,PSS,357.0,,ILMC01S883L5J,2025-05-20 06:58:04.092,Category 1,,52,ILMC01S883L5J,,,Industrial,,3.5,,SP886861957,Category 26,750.0,,,,750.0
2500.0,1100.0,,,PSS,100.0,400.0,VBQ874PE5TBI,2025-05-20 06:58:04.092,Category 36,Prod Category 15,15,VBQ874PE5TBI,36.0,17.0,Industrial,1.8,,2.4,SP888986828,Category 31,25.0,2.2,1.0,1.78,
,,,,PSS,71.0,,ISYA0136,2025-05-20 06:58:04.092,Category 15,Prod Category 15,18,,58.0,,Standard,7.9,,,SP887107495,Category 53,60.0,3.7,2.1,2.9,
1007.0,410.0,,,PSS,6.0,-24.0,VBT580SP,2025-05-20 06:58:04.092,Category 55,Prod Category 15,15,VBT580SP,,,Automotive,,,41.0,SP887788618,Category 45,-20.0,-1.2,-0.6,,
,,,,PSS,99.0,396.0,ICE836P84TL1QX,2025-05-20 06:58:04.092,Category 19,,18,ICE836P84TL1QX,38.0,19.0,Industrial,4.6,,5.9,SP881622762,Category 38,80.0,2.3,1.1,1.7,80.0
,,,,PSS,645.0,,IST0305T7,2025-05-20 06:58:04.092,Category 10,Prod Category 15,15,,,220.0,Standard,0.45,,0.7,SP887114025,Category 53,40.0,2.5,1.0,1.7,
,,,,PSS,,,IWQ56P75P,2025-05-20 06:58:04.092,Category 9,,51,,,,,100.0,,,SP888596032,Category 33,120.0,4.0,2.0,,
,,,,PSS,270.0,,ISY0029T7,2025-05-20 06:58:04.092,Category 10,Prod Category 15,15,,220.0,,Standard,1.0,,,SP887111136,Category 30,40.0,4.0,2.0,2.8,
,,,,PSS,32.0,,ISYS2377,2025-05-20 06:58:04.092,Category 8,,51,,48.0,,Standard,44.0,,,SP887168198,Category 30,100.0,4.0,2.0,3.0,
47.0,24.0,,,PSS,0.95,3.8,VBM521Q,2025-05-20 06:58:04.092,Category 33,Prod Category 15,15,VBM521Q,,,Automotive,,,350.0,SP888970678,Category 31,20.0,1.2,0.7,,
,,,,PSS,14.0,,ISYS72P71M,2025-05-20 06:58:04.092,Category 8,,18,,19.0,,Standard,180.0,,,SP887107353,Category 30,150.0,5.5,3.0,4.25,
,,,,PSS,9.3,,ISY0392,2025-05-20 06:58:04.092,Category 29,Prod Category 15,18,,35.0,,Standard,15.0,,,SP887101256,Category 30,80.0,4.0,2.0,3.0,
,,,,PSS,-20.0,,ISTS9232,2025-05-20 06:58:04.092,Category 8,Prod Category 27,18,,31.0,,Standard,105.0,,170.0,SP887169863,Category 30,-55.0,,-1.0,,
,,,,PSS,88.0,,ISYB3378,2025-05-20 06:58:04.092,Category 3,Prod Category 15,51,,120.0,,Standard,10.0,,,SP887102343,Category 30,100.0,4.0,2.0,3.0,
2420.0,304.0,,,PSS,56.0,224.0,IWV733P75P2 X,2025-05-20 06:58:04.092,Category 3,Prod Category 15,51,IWV733P75P2 X,37.0,,Industrial,14.4,,,SP888693766,Category 33,120.0,4.0,2.0,3.0,
